Date,Symbol,Order,Shares
2010-01-05,IBM,BUY,100
2010-01-11,IBM,SELL,100
2010-01-12,IBM,BUY,100
2010-01-19,IBM,SELL,100
2010-01-21,IBM,SELL,100
2010-01-27,IBM,BUY,100
2010-01-28,IBM,BUY,100
2010-02-03,IBM,SELL,100
2010-02-04,IBM,BUY,100
2010-02-10,IBM,SELL,100
2010-02-12,IBM,BUY,100
2010-02-19,IBM,SELL,100
2010-02-22,IBM,SELL,100
2010-02-26,IBM,BUY,100
2010-03-03,IBM,BUY,100
2010-03-09,IBM,SELL,100
2010-03-10,IBM,SELL,100
2010-03-16,IBM,BUY,100
2010-03-18,IBM,BUY,100
2010-03-24,IBM,SELL,100
2010-03-26,IBM,SELL,100
2010-04-01,IBM,BUY,100
2010-04-05,IBM,BUY,100
2010-04-09,IBM,SELL,100
2010-04-12,IBM,BUY,100
2010-04-16,IBM,SELL,100
2010-04-20,IBM,BUY,100
2010-04-26,IBM,SELL,100
2010-04-27,IBM,BUY,100
2010-05-03,IBM,SELL,100
2010-05-04,IBM,SELL,100
2010-05-10,IBM,BUY,100
2010-05-11,IBM,BUY,100
2010-05-17,IBM,SELL,100
2010-05-18,IBM,BUY,100
2010-05-24,IBM,SELL,100
2010-05-25,IBM,SELL,100
2010-06-01,IBM,BUY,100
2010-06-03,IBM,SELL,100
2010-06-09,IBM,BUY,100
2010-06-10,IBM,BUY,100
2010-06-16,IBM,SELL,100
2010-06-18,IBM,SELL,100
2010-06-24,IBM,BUY,100
2010-06-25,IBM,BUY,100
2010-07-01,IBM,SELL,100
2010-07-02,IBM,BUY,100
2010-07-09,IBM,SELL,100
2010-07-12,IBM,BUY,100
2010-07-16,IBM,SELL,100
2010-07-20,IBM,BUY,100
2010-07-26,IBM,SELL,100
2010-07-28,IBM,BUY,100
2010-08-03,IBM,SELL,100
2010-08-04,IBM,BUY,100
2010-08-10,IBM,SELL,100
2010-08-12,IBM,BUY,100
2010-08-18,IBM,SELL,100
2010-08-25,IBM,BUY,100
2010-08-31,IBM,SELL,100
2010-09-02,IBM,SELL,100
2010-09-09,IBM,BUY,100
2010-09-14,IBM,BUY,100
2010-09-20,IBM,SELL,100
2010-09-23,IBM,SELL,100
2010-09-29,IBM,BUY,100
2010-10-01,IBM,SELL,100
2010-10-07,IBM,BUY,100
2010-10-19,IBM,BUY,100
2010-10-25,IBM,SELL,100
2010-10-26,IBM,BUY,100
2010-11-01,IBM,SELL,100
2010-11-02,IBM,SELL,100
2010-11-08,IBM,BUY,100
2010-11-15,IBM,BUY,100
2010-11-19,IBM,SELL,100
2010-11-22,IBM,SELL,100
2010-11-29,IBM,BUY,100
2010-11-30,IBM,BUY,100
2010-12-06,IBM,SELL,100
2010-12-08,IBM,BUY,100
2010-12-14,IBM,SELL,100
2010-12-15,IBM,SELL,100
2010-12-21,IBM,BUY,100
2010-12-22,IBM,BUY,100
2010-12-29,IBM,SELL,100
